0.8333,-60605,-4253579,-4318288,-64709,19.4
0.7317,-98019,-6864201,-6984827,-120626,26.38
0.8889,-41212,-2932733,-2980293,-47560,12.91
0.6607,-81566,-5538817,-5669634,-130817,25.04
0.7059,-85804,-5952852,-6012294,-59442,22.29
0.7647,-46545,-3213286,-3238264,-24978,14.65
0.7429,-92830,-6397432,-6477161,-79729,22.42
0.6154,-82269,-5359664,-5451763,-92099,24.06
0.8125,-46003,-3104906,-3164858,-59952,13.86
0.7297,-56872,-3748022,-3858901,-110879,18.28
0.5075,-90678,-6178754,-6374768,-196014,20.07
0.5814,-62052,-4279701,-4358243,-78542,16.01
0.6545,-62647,-4494182,-4635128,-140946,16.03
0.6471,-47682,-3159947,-3228399,-68452,12.17
0.6346,-66806,-4680219,-4851148,-170929,14.16
0.6977,-51208,-3690712,-3766477,-75765,15.6
0.5765,-131807,-9255493,-9526461,-270968,25.93
0.6562,-72614,-5114430,-5193524,-79094,17.38
0.6667,-58212,-3970866,-4080391,-109525,12.61
0.4659,-108186,-7573599,-7762531,-188932,24.42
0.7714,-114640,-8326378,-8470840,-144462,30.12
0.5333,-110127,-7573889,-7711313,-137424,27.57
0.5333,-104768,-7221184,-7383682,-162498,25.1
0.5789,-92834,-6565485,-6713709,-148224,21.61
0.5122,-60987,-4357167,-4423307,-66140,14.16
0.7846,-88499,-6111341,-6130585,-19244,21.09
0.4783,-40772,-2707388,-2757060,-49672,11.64
0.7188,-79001,-5601213,-5722852,-121639,21.82
0.6341,-59115,-4106535,-4139142,-32607,15.07
0.8148,-89380,-6485892,-6587618,-101726,23.9
0.7429,-53521,-3670517,-3706878,-36361,12.9
0.6979,-125444,-8816357,-9057465,-241108,30.22
0.7750,-53711,-3865631,-3917320,-51689,14.24
0.4571,-81355,-5548037,-5619235,-71198,18.67
0.4884,-88553,-6034254,-6130989,-96735,20.62
0.5135,-100667,-6966440,-7134621,-168181,20.26
0.6047,-79275,-5401881,-5486521,-84640,20.79
0.7073,-48793,-3491872,-3562835,-70963,10.67
0.6620,-104730,-7242397,-7319645,-77248,27.86
0.5205,-111534,-7764114,-7930373,-166259,23.96
0.7321,-73388,-5244632,-5300886,-56254,17.53
0.7302,-78631,-5347659,-5533253,-185594,20.09
0.6562,-98988,-6759128,-6942085,-182957,27.11
0.5909,-85278,-5927866,-6023820,-95954,21.43
0.7097,-39923,-2882358,-2910467,-28109,11.96
0.8039,-58303,-4154404,-4190496,-36092,15.27
0.6061,-123621,-8687885,-8927921,-240036,29.47
0.8036,-72424,-4833500,-4889307,-55807,19.56
0.7831,-89315,-6382282,-6469647,-87365,26.06
0.6875,-47679,-3360856,-3399015,-38159,12.1
0.5789,-110975,-7863396,-8029242,-165846,22.91
0.5714,-67735,-4459997,-4564797,-104800,19.02
0.7234,-48522,-3466946,-3508921,-41975,11.26
